Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,2.32e-05,6,0.0041873,6
v,1,4.9e-06,4,4e-07,4
v,2,3.6e-06,7,3e-07,7
v,3,2.7e-06,6,3e-07,6
v,4,2.9e-06,7,3e-07,7
v,5,2.6e-06,6,2e-07,6
v,6,3.1e-06,7,2e-07,7
v,7,2.7e-06,6,2e-07,6
v,8,7.3e-06,5,2e-07,5
v,9,3.1e-06,7,3e-07,7
v,10,3.1e-06,7,3e-07,7
v,11,2.4e-06,6,3e-07,6
v,12,2.5e-06,6,2e-07,6
v,13,1.7e-06,4,2e-07,4
v,14,2.6e-06,7,2e-07,7
v,15,2.1e-06,5,2e-07,5
v,16,2.3e-06,6,1e-07,6
v,17,2e-06,5,1e-07,5
v,18,2.4e-06,6,2e-07,6
v,19,2.2e-06,6,2e-07,6
v,20,2.9e-06,7,2e-07,7
v,21,2.2e-06,6,3e-07,6
v,22,2.1e-06,6,2e-07,6
v,23,2.4e-06,6,2e-07,6
v,24,2.1e-06,5,1e-07,5
v,25,3e-06,7,2e-07,7
v,26,2.1e-06,6,2e-07,6
v,27,2.1e-06,5,3e-07,5
v,28,3.8e-06,9,2e-07,9
v,29,3.4e-06,8,2e-07,8
v,30,2.2e-06,6,3e-07,6
v,31,1.7e-06,4,2e-07,4
v,32,2e-06,5,2e-07,5
v,33,2.5e-06,7,2e-07,7
v,34,2.2e-06,6,2e-07,6
v,35,1.9e-06,5,1e-07,5
v,36,2.3e-06,6,2e-07,6
v,37,2.8e-06,6,2e-07,6
v,38,1.8e-06,5,1e-07,5
v,39,3.4e-06,7,2e-07,7
v,40,1.9e-06,5,2e-07,5
v,41,2.3e-06,6,3e-07,6
v,42,3e-06,6,1e-07,6
v,43,2.4e-06,6,1e-07,6
v,44,2e-06,5,2e-07,5
v,45,2.6e-06,7,1e-07,7
v,46,2.8e-06,7,3e-07,7
v,47,1.8e-06,4,2e-07,4
v,48,2.3e-06,6,2e-07,6
v,49,2.4e-06,6,2e-07,6
v,50,4.4e-06,9,2e-07,9
v,51,2.5e-06,7,3e-07,7
v,52,3.2e-06,8,2e-07,8
v,53,2.4e-06,7,2e-07,7
v,54,1.7e-06,4,3e-07,4
v,55,2.4e-06,6,2e-07,6
v,56,2.1e-06,5,2e-07,5
v,57,2.6e-06,7,1e-07,7
v,58,1.6e-06,4,2e-07,4
v,59,3.6e-06,9,2e-07,9
v,60,1.9e-06,5,2e-07,5
v,61,1.9e-06,5,2e-07,5
v,62,2.8e-06,8,2e-07,8
v,63,2.3e-06,6,2e-07,6
v,64,2e-06,5,2e-07,5
v,65,2.4e-06,6,2e-07,6
v,66,2.4e-06,6,2e-07,6
v,67,2.6e-06,7,1e-07,7
v,68,1.7e-06,4,2e-07,4
v,69,1.9e-06,5,2e-07,5
v,70,3.9e-06,10,1e-07,10
v,71,1.6e-06,4,2e-07,4
v,72,3e-06,8,2e-07,8
v,73,2.2e-06,6,2e-07,6
v,74,2.2e-06,5,2e-07,5
v,75,3e-06,8,2e-07,8
v,76,1.9e-06,5,1e-07,5
v,77,1.9e-06,5,2e-07,5
v,78,3e-06,8,2e-07,8
v,79,2.1e-06,5,2e-07,5
v,80,1.8e-06,5,2e-07,5
v,81,2.8e-06,8,1e-07,8
v,82,2.3e-06,6,2e-07,6
v,83,1.8e-06,5,2e-07,5
v,84,2.5e-06,7,2e-07,7
v,85,1.9e-06,5,3e-07,5
v,86,1.8e-06,5,2e-07,5
v,87,2.3e-06,6,2e-07,6
v,88,2.3e-06,6,2e-07,6
v,89,3e-06,8,2e-07,8
v,90,2.9e-06,8,2e-07,8
v,91,2.5e-06,7,2e-07,7
v,92,2.2e-06,6,2e-07,6
v,93,1.8e-06,5,1e-07,5
v,94,1.6e-06,4,2e-07,4
v,95,3.4e-06,9,2e-07,9
v,96,2.4e-06,7,2e-07,7
v,97,2e-06,5,2e-07,5
v,98,1.9e-06,5,2e-07,5
v,99,2e-06,5,2e-07,5
v,100,2.2e-06,6,2e-07,6
v,101,2.8e-06,8,2e-07,8
v,102,2.6e-06,7,2e-07,7
v,103,1.4e-06,3,2e-07,3
v,104,2.7e-06,7,2e-07,7
v,105,2.8e-06,7,1e-07,7
v,106,1.6e-06,4,2e-07,4
v,107,2.5e-06,7,2e-07,7
v,108,2.8e-06,8,2e-07,8
v,109,3.2e-06,6,1e-07,6
v,110,2.5e-06,6,2e-07,6
v,111,2.3e-06,6,2e-07,6
v,112,2.6e-06,7,1e-07,7
v,113,3.3e-06,8,2e-07,8
v,114,2e-06,5,1e-07,5
v,115,2.1e-06,5,2e-07,5
v,116,2.6e-06,7,1e-07,7
v,117,2.5e-06,7,2e-07,7
v,118,1.9e-06,5,1e-07,5
v,119,2.9e-06,7,2e-07,7
v,120,2.4e-06,6,2e-07,6
v,121,2e-06,5,2e-07,5
v,122,2.8e-06,8,1e-07,8
v,123,1.9e-06,5,1e-07,5
v,124,2.5e-06,7,1e-07,7
v,125,1.4e-06,3,2e-07,3
v,126,2.2e-06,5,1e-07,5
v,127,2.1e-06,5,2e-07,5
v,128,1.9e-06,5,2e-07,5
v,129,2.1e-06,6,1e-07,6
v,130,3.2e-06,8,1e-07,8
v,131,1.9e-06,5,2e-07,5
v,132,2e-06,5,2e-07,5
v,133,3e-06,8,2e-07,8
v,134,2.7e-06,7,2e-07,7
v,135,2.5e-06,7,2e-07,7
v,136,1.9e-06,5,1e-07,5
v,137,2.2e-06,6,2e-07,6
v,138,2.6e-06,7,2e-07,7
v,139,1.8e-06,5,2e-07,5
v,140,1.8e-06,5,1e-07,5
v,141,2.6e-06,7,2e-07,7
v,142,2.6e-06,6,2e-07,6
v,143,1.6e-06,4,2e-07,4
v,144,2.3e-06,6,1e-07,6
v,145,2.7e-06,7,1e-07,7
v,146,2.5e-06,7,2e-07,7
v,147,2.4e-06,6,2e-07,6
v,148,2.6e-06,7,2e-07,7
v,149,2.2e-06,6,2e-07,6
v,150,2.6e-06,7,2e-07,7
v,151,2.1e-06,6,2e-07,6
v,152,1.9e-06,5,2e-07,5
v,153,2.3e-06,6,2e-07,6
v,154,2.2e-06,6,2e-07,6
v,155,2.3e-06,6,2e-07,6
v,156,2.4e-06,7,2e-07,7
v,157,1.5e-06,4,3e-07,4
v,158,1.9e-06,5,2e-07,5
v,159,2.6e-06,7,2e-07,7
v,160,1.7e-06,4,2e-07,4
v,161,2.1e-06,6,1e-07,6
v,162,2.9e-06,8,2e-07,8
v,163,2.3e-06,6,2e-07,6
v,164,3.1e-06,8,2e-07,8
v,165,2.1e-06,5,2e-07,5
v,166,2.7e-06,7,2e-07,7
v,167,2e-06,5,2e-07,5
v,168,3e-06,8,2e-07,8
v,169,2.9e-06,8,2e-07,8
v,170,3.3e-06,8,2e-07,8
v,171,1.5e-06,4,2e-07,4
v,172,2.2e-06,6,1e-07,6
v,173,2.4e-06,6,2e-07,6
v,174,2.4e-06,7,1e-07,7
v,175,2.8e-06,8,2e-07,8
v,176,1.9e-06,5,1e-07,5
v,177,2.2e-06,6,2e-07,6
v,178,1.9e-06,5,1e-07,5
v,179,2.4e-06,6,2e-07,6
v,180,2.1e-06,6,2e-07,6
v,181,2.2e-06,6,2e-07,6
v,182,2.4e-06,6,2e-07,6
v,183,2.3e-06,6,2e-07,6
v,184,2.6e-06,7,3e-07,7
v,185,2.2e-06,5,2e-07,5
v,186,2.3e-06,5,3e-07,5
v,187,3e-06,7,2e-07,7
v,188,3.1e-06,7,3e-07,7
v,189,2.3e-06,6,2e-07,6
v,190,3.4e-06,9,3e-07,9
v,191,1.9e-06,5,2e-07,5
v,192,1.9e-06,5,2e-07,5
v,193,2.6e-06,7,2e-07,7
v,194,2.2e-06,6,2e-07,6
v,195,2.8e-06,8,2e-07,8
v,196,1.8e-06,4,2e-07,4
v,197,1.9e-06,5,2e-07,5
v,198,2.9e-06,7,2e-07,7
v,199,3.1e-06,8,3e-07,8
v,200,2.6e-06,6,5e-07,6
v,201,1.8e-06,5,2e-07,5
v,202,2.1e-06,6,2e-07,6
v,203,2.8e-06,7,2e-07,7
v,204,1.9e-06,5,2e-07,5
v,205,2.1e-06,5,1e-07,5
v,206,2.4e-06,7,2e-07,7
v,207,2.2e-06,6,1e-07,6
v,208,2.2e-06,6,1e-07,6
v,209,2.7e-06,7,2e-07,7
v,210,2.8e-06,7,1e-07,7
v,211,2.6e-06,7,2e-07,7
v,212,1.9e-06,5,1e-07,5
v,213,1.8e-06,5,2e-07,5
v,214,2.2e-06,6,2e-07,6
v,215,2e-06,5,2e-07,5
v,216,2.7e-06,7,2e-07,7
v,217,1.6e-06,4,2e-07,4
v,218,2.1e-06,6,2e-07,6
v,219,2.6e-06,7,2e-07,7
v,220,2.5e-06,7,2e-07,7
v,221,2.6e-06,6,2e-07,6
v,222,1.5e-06,4,1e-07,4
v,223,2.4e-06,6,2e-07,6
v,224,3e-06,8,1e-07,8
v,225,2.7e-06,7,2e-07,7
v,226,2.3e-06,6,2e-07,6
v,227,2e-06,5,2e-07,5
v,228,2.1e-06,5,2e-07,5
v,229,2.6e-06,7,1e-07,7
v,230,2.2e-06,6,2e-07,6
v,231,2.3e-06,6,2e-07,6
v,232,1.9e-06,5,2e-07,5
v,233,2e-06,5,1e-07,5
v,234,2e-06,5,2e-07,5
v,235,1.9e-06,5,2e-07,5
v,236,2.5e-06,7,2e-07,7
v,237,2e-06,5,1e-07,5
v,238,2.3e-06,6,1e-07,6
v,239,1.6e-06,4,2e-07,4
v,240,2.1e-06,6,1e-07,6
v,241,2.7e-06,7,2e-07,7
v,242,2.2e-06,6,2e-07,6
v,243,3e-06,8,2e-07,8
v,244,2.2e-06,5,2e-07,5
v,245,2.6e-06,7,2e-07,7
v,246,2.4e-06,7,2e-07,7
v,247,2.4e-06,7,1e-07,7
v,248,1.7e-06,4,2e-07,4
v,249,2.6e-06,7,2e-07,7
v,250,2.1e-06,6,2e-07,6
v,251,2.4e-06,7,2e-07,7
v,252,2.8e-06,8,2e-07,8
v,253,2.3e-06,6,2e-07,6
v,254,2.8e-06,8,2e-07,8
v,255,2.1e-06,6,2e-07,6
v,256,2e-06,5,2e-07,5
v,257,2.7e-06,7,2e-07,7
v,258,1.9e-06,5,2e-07,5
v,259,2.3e-06,6,2e-07,6
v,260,2.5e-06,7,2e-07,7
v,261,2.2e-06,6,1e-07,6
v,262,2.1e-06,5,2e-07,5
v,263,2.6e-06,7,2e-07,7
v,264,1.9e-06,5,1e-07,5
v,265,2.1e-06,6,1e-07,6
v,266,1.9e-06,5,1e-07,5
v,267,2.5e-06,7,2e-07,7
v,268,2.1e-06,6,2e-07,6
v,269,2.8e-06,8,2e-07,8
v,270,2.4e-06,6,1e-07,6
v,271,2.1e-06,5,2e-07,5
v,272,2.1e-06,6,2e-07,6
v,273,2.4e-06,7,1e-07,7
v,274,1.5e-06,4,1e-07,4
v,275,2.2e-06,6,1e-07,6
v,276,2.6e-06,7,2e-07,7
v,277,2.5e-06,6,2e-07,6
v,278,3.3e-06,9,2e-07,9
