Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,2.92e-05,14,0.0121685,12
v,1,5e-06,6,1e-06,6
v,2,1.12e-05,21,1.1e-06,16
v,3,4e-06,8,6e-07,7
v,4,1.19e-05,26,1e-06,19
v,5,3.6e-06,8,6e-07,7
v,6,9e-06,17,8e-07,14
v,7,1.08e-05,23,7e-07,17
v,8,2.7e-06,6,5e-07,6
v,9,3.3e-06,8,5e-07,9
v,10,3.5e-06,8,5e-07,7
v,11,1.08e-05,24,9e-07,17
v,12,3.2e-06,8,5e-07,7
v,13,3.2e-06,8,5e-07,9
v,14,3.1e-06,8,6e-07,7
v,15,1.08e-05,24,9e-07,17
v,16,2.9e-06,8,5e-07,7
v,17,3e-06,8,5e-07,9
v,18,2.7e-06,8,4e-07,7
v,19,8.3e-06,18,7e-07,14
v,20,2.3e-06,6,5e-07,6
v,21,1.03e-05,23,8e-07,17
v,22,3.1e-06,8,4e-07,7
v,23,2.8e-06,8,4e-07,9
v,24,2.8e-06,8,6e-07,7
v,25,1.06e-05,24,7e-07,17
v,26,3.2e-06,8,5e-07,7
v,27,2.9e-06,8,6e-07,9
v,28,2.8e-06,8,5e-07,7
v,29,1.08e-05,24,7e-07,17
v,30,3.6e-06,8,4e-07,7
v,31,3e-06,8,6e-07,9
v,32,2.9e-06,8,5e-07,7
v,33,8.2e-06,18,8e-07,14
v,34,2.7e-06,6,4e-07,6
v,35,5.8e-06,14,7e-07,12
v,36,2.5e-06,6,4e-07,6
v,37,2.9e-06,8,4e-07,9
v,38,2.4e-06,6,3e-07,6
v,39,9.2e-06,21,7e-07,16
v,40,3.2e-06,8,5e-07,7
v,41,3e-06,8,5e-07,9
v,42,2.9e-06,8,4e-07,7
v,43,1.08e-05,26,8e-07,19
v,44,3.2e-06,8,4e-07,7
v,45,2.9e-06,8,5e-07,9
v,46,3.1e-06,8,4e-07,7
v,47,7e-06,17,6e-07,14
v,48,2.2e-06,6,9e-07,6
v,49,4.7e-06,12,5e-07,10
v,50,3.2e-06,8,6e-07,7
v,51,1.07e-05,24,9e-07,17
v,52,3.5e-06,8,6e-07,7
v,53,9.8e-06,22,7e-07,17
v,54,1.8e-06,4,1.2e-06,5
v,55,1.03e-05,22,1.1e-06,17
v,56,2.1e-06,4,5e-07,5
v,57,5.2e-06,12,5e-07,10
v,58,2.5e-05,48,1.1e-06,26
v,59,5.5e-06,12,6e-07,10
v,60,1.8e-06,4,4e-07,5
v,61,4.3e-06,10,5e-07,10
v,62,7.5e-06,17,6e-07,14
v,63,7.2e-06,16,5e-07,10
v,64,7.6e-06,16,5e-07,10
v,65,2.53e-05,48,8e-07,26
v,66,6.9e-06,16,5e-07,10
v,67,4.7e-06,12,5e-07,10
v,68,6e-06,14,7e-07,12
v,69,2.7e-06,6,6e-07,6
v,70,7.8e-06,19,6e-07,15
v,71,7.2e-06,16,5e-07,10
v,72,7e-06,16,6e-07,10
v,73,2.47e-05,48,1e-06,26
v,74,8.9e-06,20,6e-07,12
v,75,4.9e-06,12,4e-07,10
v,76,4.1e-06,10,4e-07,10
v,77,5.6e-06,14,1.1e-06,12
v,78,8e-06,18,6e-07,11
v,79,9.5e-06,22,9e-07,17
v,80,2e-06,4,5e-07,5
v,81,2.8e-06,7,5e-07,7
v,82,1.27e-05,28,1e-06,21
v,83,1.9e-06,4,5e-07,5
v,84,4.7e-06,12,4e-07,10
v,85,4.5e-06,12,5e-07,10
v,86,8.89e-05,16,1.9e-06,10
v,87,5.21e-05,48,1.9e-06,26
v,88,1.91e-05,16,4.1e-06,10
v,89,9.9e-06,8,9e-07,7
v,90,2.32e-05,16,9e-07,10
v,91,7.6e-06,8,1.8e-06,7
v,92,4.71e-05,27,3e-06,19
v,93,4.92e-05,16,1.3e-06,10
v,94,1.2e-05,16,8e-07,10
v,95,4.61e-05,48,2.8e-06,26
v,96,8.5e-06,16,7e-07,10
v,97,7.8e-06,16,6e-07,10
v,98,7.6e-06,16,5e-07,10
v,99,5.7e-06,13,6e-07,10
v,100,3.09e-05,52,1e-06,28
v,101,7.1e-06,16,6e-07,10
v,102,7e-06,16,5e-07,10
v,103,2.74e-05,48,1.3e-06,26
v,104,7.3e-06,16,6e-07,10
v,105,7e-06,16,7e-07,10
v,106,6.7e-06,16,6e-07,10
v,107,6.5e-06,16,4e-07,10
v,108,2.85e-05,52,1.2e-06,28
v,109,6.7e-06,16,5e-07,10
v,110,6.7e-06,16,8e-07,10
v,111,2.66e-05,48,1.3e-06,26
v,112,7.2e-06,16,9e-07,10
v,113,6.8e-06,16,5e-07,10
v,114,6.6e-06,16,4e-07,10
v,115,5.4e-06,13,5e-07,10
v,116,8.6e-06,20,7e-07,15
v,117,6.7e-06,16,5e-07,10
v,118,7.1e-06,16,6e-07,10
v,119,1.22e-05,24,1.6e-06,17
v,120,3.7e-06,8,5e-07,7
v,121,3.1e-06,8,4e-07,7
