Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,1.29e-05,3,0.0146171,3
v,1,7.1e-06,4,4e-07,4
v,2,2.6e-06,4,3e-07,4
v,3,2.1e-06,4,3e-07,4
v,4,1.7e-06,4,3e-07,4
v,5,1.9e-06,4,3e-07,4
v,6,1.5e-06,4,2e-07,4
v,7,1.7e-06,4,2e-07,4
v,8,1.5e-06,4,2e-07,4
v,9,1.5e-06,4,2e-07,4
v,10,1.8e-06,4,2e-07,4
v,11,2.3e-06,4,2e-07,4
v,12,1.4e-06,4,2e-07,4
v,13,1.5e-06,4,2e-07,4
v,14,1.4e-06,4,3e-07,4
v,15,1.7e-06,4,3e-07,4
v,16,1.5e-06,4,1e-07,4
v,17,1.5e-06,4,2e-07,4
v,18,1.7e-06,4,1e-07,4
v,19,1.7e-06,4,2e-07,4
v,20,1.6e-06,4,2e-07,4
v,21,1.5e-06,4,2e-07,4
v,22,1.5e-06,4,1e-07,4
v,23,1.5e-06,4,2e-07,4
v,24,1.5e-06,4,4e-07,4
v,25,1.6e-06,4,2e-07,4
v,26,1.5e-06,4,3e-07,4
v,27,1.6e-06,4,2e-07,4
v,28,1.4e-06,4,2e-07,4
v,29,1.4e-06,4,2e-07,4
v,30,1.4e-06,4,1e-07,4
v,31,1.5e-06,4,2e-07,4
v,32,1.5e-06,4,2e-07,4
v,33,1.5e-06,4,2e-07,4
v,34,1.4e-06,3,2e-07,3
v,35,1.5e-06,4,3e-07,4
v,36,1.5e-06,4,2e-07,4
v,37,1.5e-06,4,2e-07,4
v,38,1.5e-06,4,1e-07,4
v,39,1.5e-06,4,2e-07,4
v,40,1.6e-06,4,2e-07,4
v,41,1.5e-06,4,4e-07,4
v,42,1.5e-06,4,2e-07,4
v,43,1.5e-06,4,1e-07,4
v,44,1.4e-06,4,2e-07,4
v,45,1.6e-06,4,2e-07,4
v,46,1.4e-06,4,2e-07,4
v,47,1.4e-06,4,2e-07,4
v,48,1.5e-06,4,2e-07,4
v,49,1.4e-06,4,2e-07,4
v,50,2.3e-06,4,2e-07,4
v,51,1.4e-06,4,1e-07,4
v,52,1.5e-06,4,2e-07,4
v,53,1.4e-06,4,6e-07,4
v,54,1.6e-06,4,2e-07,4
v,55,1.7e-06,4,2e-07,4
v,56,1.6e-06,4,2e-07,4
v,57,1.5e-06,4,3e-07,4
v,58,1.5e-06,4,1e-07,4
v,59,1.5e-06,4,2e-07,4
v,60,1.5e-06,4,2e-07,4
v,61,1.4e-06,4,2e-07,4
v,62,1.4e-06,4,2e-07,4
v,63,1.6e-06,4,2e-07,4
v,64,1.4e-06,4,2e-07,4
v,65,1.4e-06,4,2e-07,4
v,66,1.7e-06,4,2e-07,4
v,67,1.6e-06,4,1e-07,4
v,68,1.5e-06,3,2e-07,3
v,69,1.6e-06,4,2e-07,4
v,70,1.4e-06,4,2e-07,4
v,71,1.5e-06,4,3e-07,4
v,72,1.5e-06,4,2e-07,4
v,73,1.4e-06,4,1e-07,4
v,74,1.5e-06,4,3e-07,4
v,75,1.4e-06,4,2e-07,4
v,76,1.4e-06,4,2e-07,4
v,77,1.4e-06,4,2e-07,4
v,78,1.5e-06,4,2e-07,4
v,79,1.7e-06,4,2e-07,4
v,80,1.4e-06,4,2e-07,4
v,81,1.3e-06,4,2e-07,4
v,82,1.4e-06,4,2e-07,4
v,83,1.3e-06,4,2e-07,4
v,84,1.6e-06,4,7e-07,4
v,85,1.4e-06,4,1e-07,4
v,86,1.5e-06,4,2e-07,4
v,87,1.4e-06,4,3e-07,4
v,88,1.5e-06,4,2e-07,4
v,89,1.3e-06,4,1e-07,4
v,90,1.4e-06,4,2e-07,4
v,91,1.4e-06,4,1e-07,4
v,92,1.4e-06,4,2e-07,4
v,93,1.5e-06,4,2e-07,4
v,94,1.6e-06,4,2e-07,4
v,95,1.3e-06,4,1e-07,4
v,96,1.5e-06,4,1e-07,4
v,97,1.5e-06,4,1e-07,4
v,98,1.5e-06,4,2e-07,4
v,99,1.4e-06,4,1e-07,4
v,100,1.4e-06,4,1e-07,4
v,101,1.4e-06,4,2e-07,4
v,102,1.4e-06,3,2e-07,3
v,103,1.5e-06,4,2e-07,4
v,104,1.5e-06,4,2e-07,4
v,105,1.5e-06,4,2e-07,4
v,106,1.4e-06,4,2e-07,4
v,107,1.5e-06,4,2e-07,4
v,108,1.4e-06,4,1e-07,4
v,109,1.5e-06,4,3e-07,4
v,110,1.5e-06,4,1e-07,4
v,111,1.5e-06,4,2e-07,4
v,112,1.5e-06,4,2e-07,4
v,113,1.5e-06,4,2e-07,4
v,114,1.4e-06,4,2e-07,4
v,115,1.5e-06,4,1e-07,4
v,116,1.5e-06,4,2e-07,4
v,117,1.4e-06,4,2e-07,4
v,118,1.7e-06,4,2e-07,4
v,119,1.5e-06,4,2e-07,4
v,120,1.4e-06,4,2e-07,4
v,121,1.4e-06,4,2e-07,4
v,122,1.5e-06,4,2e-07,4
v,123,1.4e-06,4,2e-07,4
v,124,1.4e-06,4,1e-07,4
v,125,1.4e-06,4,2e-07,4
v,126,1.4e-06,4,2e-07,4
v,127,1.5e-06,4,2e-07,4
v,128,1.5e-06,4,2e-07,4
v,129,1.6e-06,4,1e-07,4
v,130,1.4e-06,4,2e-07,4
v,131,1.5e-06,4,2e-07,4
v,132,1.5e-06,4,2e-07,4
v,133,2e-06,4,2e-07,4
v,134,1.5e-06,4,2e-07,4
v,135,1.3e-06,4,2e-07,4
v,136,1.3e-06,3,2e-07,3
v,137,1.4e-06,4,2e-07,4
v,138,1.6e-06,4,2e-07,4
v,139,1.4e-06,4,2e-07,4
v,140,1.5e-06,4,2e-07,4
v,141,1.4e-06,4,2e-07,4
v,142,1.3e-06,4,2e-07,4
v,143,1.5e-06,4,2e-07,4
v,144,1.5e-06,4,2e-07,4
v,145,1.4e-06,4,1e-07,4
v,146,1.6e-06,4,2e-07,4
v,147,1.4e-06,4,2e-07,4
v,148,1.5e-06,4,1e-07,4
v,149,1.4e-06,4,1e-07,4
v,150,1.4e-06,4,1e-07,4
v,151,1.4e-06,4,2e-07,4
