Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,7.39e-05,6,7.69e-05,6
v,1,7.83e-05,4,6.12e-05,4
v,2,6.56e-05,7,6.07e-05,7
v,3,6.55e-05,6,6.02e-05,6
v,4,6.55e-05,7,6.38e-05,7
v,5,6.51e-05,6,6.01e-05,6
v,6,6.48e-05,7,6.01e-05,7
v,7,6.49e-05,6,5.98e-05,6
v,8,6.48e-05,5,5.95e-05,5
v,9,6.5e-05,7,5.98e-05,7
v,10,6.48e-05,7,5.98e-05,7
v,11,6.5e-05,6,5.98e-05,6
v,12,0.0001123,6,8.55e-05,6
v,13,6.85e-05,4,6.39e-05,4
v,14,6.51e-05,7,6.01e-05,7
v,15,6.51e-05,5,5.95e-05,5
v,16,6.49e-05,6,5.97e-05,6
v,17,6.48e-05,5,5.95e-05,5
v,18,6.93e-05,6,6.02e-05,6
v,19,6.49e-05,6,5.97e-05,6
v,20,6.48e-05,7,5.99e-05,7
v,21,6.49e-05,6,5.99e-05,6
v,22,6.48e-05,6,5.97e-05,6
v,23,6.49e-05,6,5.97e-05,6
v,24,6.48e-05,5,5.95e-05,5
v,25,6.48e-05,7,5.98e-05,7
v,26,6.47e-05,6,5.96e-05,6
v,27,6.48e-05,5,5.95e-05,5
v,28,6.48e-05,9,6.01e-05,9
v,29,6.49e-05,8,5.99e-05,8
v,30,6.48e-05,6,5.96e-05,6
v,31,6.49e-05,4,5.93e-05,4
v,32,6.5e-05,5,5.95e-05,5
v,33,6.5e-05,7,5.98e-05,7
v,34,6.8e-05,6,6.01e-05,6
v,35,6.51e-05,5,5.96e-05,5
v,36,6.51e-05,6,5.97e-05,6
v,37,6.51e-05,6,5.96e-05,6
v,38,6.5e-05,5,5.97e-05,5
v,39,6.52e-05,7,5.98e-05,7
v,40,6.51e-05,5,5.95e-05,5
v,41,6.51e-05,6,5.96e-05,6
v,42,6.5e-05,6,5.97e-05,6
v,43,6.51e-05,6,5.98e-05,6
v,44,6.51e-05,5,5.96e-05,5
v,45,6.52e-05,7,6e-05,7
v,46,6.51e-05,7,5.98e-05,7
v,47,6.5e-05,4,6.13e-05,4
v,48,6.53e-05,6,5.98e-05,6
v,49,6.51e-05,6,5.97e-05,6
v,50,6.52e-05,9,6e-05,9
v,51,6.53e-05,7,5.98e-05,7
v,52,6.52e-05,8,5.99e-05,8
v,53,6.54e-05,7,5.99e-05,7
v,54,6.51e-05,4,5.96e-05,4
v,55,6.51e-05,6,5.97e-05,6
v,56,6.52e-05,5,5.95e-05,5
v,57,6.52e-05,7,5.98e-05,7
v,58,6.5e-05,4,5.94e-05,4
v,59,6.52e-05,9,6e-05,9
v,60,6.53e-05,5,5.96e-05,5
v,61,6.51e-05,5,6.2e-05,5
v,62,6.55e-05,8,6.02e-05,8
v,63,6.5e-05,6,5.96e-05,6
v,64,6.51e-05,5,5.96e-05,5
v,65,6.5e-05,6,5.97e-05,6
v,66,6.51e-05,6,5.97e-05,6
v,67,6.5e-05,7,5.98e-05,7
v,68,6.5e-05,4,5.94e-05,4
v,69,6.51e-05,5,5.95e-05,5
v,70,6.51e-05,10,6.03e-05,10
v,71,6.49e-05,4,5.93e-05,4
v,72,6.5e-05,8,5.99e-05,8
v,73,6.5e-05,6,5.96e-05,6
v,74,6.49e-05,5,5.95e-05,5
v,75,6.5e-05,8,6.21e-05,8
v,76,6.52e-05,5,5.98e-05,5
v,77,6.51e-05,5,5.97e-05,5
v,78,6.51e-05,8,6.01e-05,8
v,79,6.5e-05,5,5.95e-05,5
v,80,6.51e-05,5,5.96e-05,5
v,81,6.52e-05,8,5.99e-05,8
v,82,6.51e-05,6,5.96e-05,6
v,83,6.51e-05,5,5.95e-05,5
v,84,6.51e-05,7,5.98e-05,7
v,85,6.5e-05,5,5.95e-05,5
v,86,6.49e-05,5,5.95e-05,5
v,87,6.52e-05,6,5.97e-05,6
v,88,6.51e-05,6,5.97e-05,6
v,89,6.51e-05,8,6.22e-05,8
v,90,6.52e-05,8,6.02e-05,8
v,91,6.52e-05,7,6.05e-05,7
v,92,6.5e-05,6,5.98e-05,6
v,93,6.52e-05,5,5.96e-05,5
v,94,6.5e-05,4,5.95e-05,4
v,95,6.5e-05,9,6e-05,9
v,96,6.51e-05,7,5.98e-05,7
v,97,6.51e-05,5,5.96e-05,5
v,98,6.5e-05,5,5.97e-05,5
v,99,6.52e-05,5,5.95e-05,5
v,100,6.52e-05,6,5.97e-05,6
v,101,6.5e-05,8,5.99e-05,8
v,102,6.5e-05,7,5.98e-05,7
v,103,6.49e-05,3,6.13e-05,3
v,104,7.56e-05,7,6.02e-05,7
v,105,7.55e-05,7,5.98e-05,7
v,106,7.53e-05,4,5.94e-05,4
v,107,7.56e-05,7,5.97e-05,7
v,108,7.56e-05,8,5.98e-05,8
v,109,7.54e-05,6,5.97e-05,6
v,110,7.56e-05,6,5.95e-05,6
v,111,7.71e-05,6,6.21e-05,6
v,112,7.55e-05,7,5.97e-05,7
v,113,7.55e-05,8,5.98e-05,8
v,114,7.54e-05,5,5.94e-05,5
v,115,7.54e-05,5,5.94e-05,5
v,116,7.5e-05,7,6.04e-05,7
