Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,0.000101,14,2.9e-05,7
v,1,8.02e-05,6,2.2e-05,4
v,2,7.96e-05,21,2.25e-05,9
v,3,7.95e-05,8,2.18e-05,5
v,4,7.85e-05,26,2.29e-05,11
v,5,8.07e-05,8,2.17e-05,5
v,6,8.08e-05,17,2.21e-05,8
v,7,8.07e-05,23,2.25e-05,10
v,8,7.99e-05,6,2.17e-05,4
v,9,8.03e-05,8,2.17e-05,5
v,10,7.86e-05,8,2.18e-05,5
v,11,8.04e-05,24,2.23e-05,9
v,12,8.01e-05,8,2.18e-05,5
v,13,8.1e-05,8,2.18e-05,5
v,14,7.96e-05,8,2.17e-05,5
v,15,8.92e-05,24,2.29e-05,9
v,16,8.25e-05,8,2.19e-05,5
v,17,8.39e-05,8,2.19e-05,5
v,18,8.19e-05,8,2.17e-05,5
v,19,8.38e-05,18,2.22e-05,8
v,20,8.25e-05,6,2.18e-05,4
v,21,8.36e-05,23,2.23e-05,10
v,22,8.31e-05,8,2.2e-05,5
v,23,8.25e-05,8,2.17e-05,5
v,24,8.35e-05,8,2.17e-05,5
v,25,8.34e-05,24,2.22e-05,9
v,26,8.44e-05,8,2.18e-05,5
v,27,8.41e-05,8,2.18e-05,5
v,28,8.4e-05,8,2.17e-05,5
v,29,8.36e-05,24,2.24e-05,9
v,30,8.27e-05,8,2.18e-05,5
v,31,8.34e-05,8,2.17e-05,5
v,32,8.42e-05,8,2.17e-05,5
v,33,8.47e-05,18,2.2e-05,8
v,34,8.65e-05,6,2.19e-05,4
v,35,8.23e-05,14,2.25e-05,7
v,36,8.3e-05,6,2.16e-05,4
v,37,8.25e-05,8,2.17e-05,5
v,38,8.29e-05,6,2.16e-05,4
v,39,8.32e-05,21,2.23e-05,9
v,40,8.33e-05,8,2.18e-05,5
v,41,8.44e-05,8,2.19e-05,5
v,42,8.41e-05,8,2.18e-05,5
v,43,8.39e-05,26,2.27e-05,11
v,44,8.44e-05,8,2.17e-05,5
v,45,8.52e-05,8,2.18e-05,5
v,46,8.24e-05,8,2.18e-05,5
v,47,8.23e-05,17,2.22e-05,8
v,48,8.32e-05,6,2.18e-05,4
v,49,8.45e-05,12,2.2e-05,7
v,50,8.47e-05,8,2.19e-05,4
v,51,8.38e-05,24,2.27e-05,10
v,52,8.27e-05,8,2.18e-05,4
v,53,8.35e-05,22,2.26e-05,10
v,54,8.37e-05,4,2.17e-05,4
v,55,8.45e-05,22,2.26e-05,10
v,56,8.49e-05,4,2.17e-05,4
v,57,8.26e-05,12,2.18e-05,6
v,58,8.24e-05,48,2.39e-05,14
v,59,8.4e-05,12,2.2e-05,6
v,60,8.45e-05,4,2.17e-05,4
v,61,8.25e-05,10,2.19e-05,6
v,62,8.38e-05,17,2.21e-05,8
v,63,8.41e-05,16,2.19e-05,6
v,64,8.35e-05,16,2.18e-05,6
v,65,8.41e-05,48,2.34e-05,14
v,66,8.43e-05,16,2.19e-05,6
v,67,8.5e-05,12,2.22e-05,6
v,68,8.24e-05,14,2.25e-05,10
v,69,8.41e-05,6,2.17e-05,4
v,70,8.47e-05,19,2.24e-05,10
v,71,8.23e-05,16,2.19e-05,6
v,72,8.32e-05,16,2.19e-05,6
v,73,8.41e-05,48,2.35e-05,14
v,74,8.53e-05,20,2.26e-05,10
v,75,8.35e-05,12,2.18e-05,6
v,76,8.13e-05,10,2.18e-05,6
v,77,8.35e-05,14,2.21e-05,8
v,78,8.43e-05,18,2.21e-05,8
v,79,8.24e-05,22,2.23e-05,10
v,80,8.23e-05,4,2.17e-05,4
v,81,8.42e-05,7,2.17e-05,5
v,82,8.27e-05,28,2.26e-05,12
v,83,8.62e-05,4,2.2e-05,4
v,84,8.3e-05,12,2.22e-05,7
