Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,0.000256,3,0.0001636,3
v,1,0.0002313,4,0.000145,4
v,2,0.0002129,4,0.000153,4
v,3,0.0002674,4,0.0001456,4
v,4,0.0002154,4,0.0001451,4
v,5,0.0002504,4,0.0001814,4
v,6,0.0002937,4,0.0001539,4
v,7,0.0002219,4,0.0001505,4
v,8,0.0002199,4,0.0001432,4
v,9,0.0002086,4,0.0001432,4
v,10,0.0002081,4,0.0001503,4
v,11,0.000209,4,0.0001432,4
v,12,0.0002071,4,0.0001432,4
v,13,0.0002098,4,0.0001434,4
v,14,0.0002117,4,0.0001439,4
v,15,0.0002113,4,0.0001431,4
v,16,0.0002099,4,0.0001436,4
v,17,0.0002062,4,0.0001433,4
v,18,0.0002084,4,0.0001432,4
v,19,0.0002103,4,0.0001432,4
v,20,0.0002105,4,0.000143,4
v,21,0.0002054,4,0.0001433,4
v,22,0.0002087,4,0.0001433,4
v,23,0.0002039,4,0.0001433,4
v,24,0.000211,4,0.0001432,4
v,25,0.0002035,4,0.0001431,4
v,26,0.0002106,4,0.0001432,4
v,27,0.0002107,4,0.0001435,4
v,28,0.0002057,4,0.0001431,4
v,29,0.0002094,4,0.0001431,4
v,30,0.0002075,4,0.0001432,4
v,31,0.0002108,4,0.0001431,4
v,32,0.0002089,4,0.0001468,4
v,33,0.0002067,4,0.0001432,4
v,34,0.0002146,3,0.000143,3
v,35,0.0002109,4,0.0001431,4
v,36,0.0002114,4,0.0001432,4
v,37,0.0002067,4,0.0001432,4
v,38,0.0002106,4,0.0001434,4
v,39,0.0002081,4,0.0001432,4
v,40,0.0002098,4,0.0001432,4
v,41,0.0002098,4,0.0001431,4
v,42,0.0002277,4,0.0001432,4
v,43,0.000181,4,0.0001434,4
v,44,0.0001619,4,0.0001433,4
v,45,0.00016,4,0.0001432,4
v,46,0.0001657,4,0.0001432,4
v,47,0.0001631,4,0.0001431,4
v,48,0.0001535,4,0.0001431,4
v,49,0.0001562,4,0.000147,4
v,50,0.0002973,4,0.0001687,4
v,51,0.0002199,4,0.0001435,4
v,52,0.0002104,4,0.0001446,4
v,53,0.0002088,4,0.0001435,4
v,54,0.0002065,4,0.0001468,4
v,55,0.0002231,4,0.0001565,4
v,56,0.0002212,4,0.0001445,4
v,57,0.0002087,4,0.0001446,4
v,58,0.0002131,4,0.0001445,4
v,59,0.0002082,4,0.0001444,4
v,60,0.0002079,4,0.0001481,4
v,61,0.0002154,4,0.0001433,4
v,62,0.0002126,4,0.0001432,4
v,63,0.0002088,4,0.0001432,4
v,64,0.0002044,4,0.0001432,4
v,65,0.0002099,4,0.000146,4
v,66,0.0001656,4,0.0001433,4
v,67,0.0001526,4,0.0001432,4
v,68,0.0001518,3,0.000143,3
v,69,0.0001521,4,0.0001434,4
v,70,0.0001537,4,0.0001431,4
v,71,0.0001789,4,0.0001434,4
v,72,0.0002105,4,0.0001432,4
v,73,0.000205,4,0.0001431,4
v,74,0.0002076,4,0.000143,4
v,75,0.0002329,4,0.0001431,4
v,76,0.00021,4,0.0001431,4
v,77,0.0002088,4,0.0001434,4
v,78,0.0002062,4,0.0001432,4
v,79,0.0002097,4,0.0001431,4
