Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,8e-07,14,2.55e-05,7
v,1,2e-07,6,2.1e-05,4
v,2,1e-07,21,2.14e-05,9
v,3,1e-07,8,2.07e-05,5
v,4,2e-07,26,2.43e-05,11
v,5,1e-07,8,2.08e-05,5
v,6,2e-07,17,2.14e-05,8
v,7,1e-07,23,2.14e-05,10
v,8,1e-07,6,2.08e-05,4
v,9,1e-07,8,2.07e-05,5
v,10,2e-07,8,2.08e-05,5
v,11,2e-07,24,2.12e-05,9
v,12,1e-07,8,2.08e-05,5
v,13,1e-07,8,2.08e-05,5
v,14,1e-07,8,2.07e-05,5
v,15,1e-07,24,2.12e-05,9
v,16,1e-07,8,2.07e-05,5
v,17,1e-07,8,2.09e-05,5
v,18,1e-07,8,2.07e-05,5
v,19,1e-07,18,2.12e-05,8
v,20,1e-07,6,2.06e-05,4
v,21,1e-07,23,2.13e-05,10
v,22,1e-07,8,2.07e-05,5
v,23,1e-07,8,2.06e-05,5
v,24,1e-07,8,2.07e-05,5
v,25,1e-07,24,2.11e-05,9
v,26,1e-07,8,2.07e-05,5
v,27,1e-07,8,2.07e-05,5
v,28,0,8,2.06e-05,5
v,29,1e-07,24,2.12e-05,9
v,30,1e-07,8,2.07e-05,5
v,31,1e-07,8,2.07e-05,5
v,32,1e-07,8,2.06e-05,5
v,33,1e-07,18,2.1e-05,8
v,34,0,6,2.06e-05,4
v,35,2e-07,14,2.1e-05,7
v,36,1e-07,6,2.05e-05,4
v,37,1e-07,8,2.07e-05,5
v,38,1e-07,6,2.05e-05,4
v,39,1e-07,21,2.11e-05,9
v,40,1e-07,8,2.07e-05,5
v,41,1e-07,8,2.07e-05,5
v,42,1e-07,8,2.07e-05,5
v,43,1e-07,26,2.15e-05,11
v,44,1e-07,8,2.07e-05,5
v,45,1e-07,8,2.07e-05,5
v,46,0,8,2.07e-05,5
v,47,0,17,2.11e-05,8
v,48,1e-07,6,2.05e-05,4
v,49,1e-07,12,2.1e-05,7
v,50,1e-07,8,2.05e-05,4
v,51,1e-07,24,2.14e-05,10
v,52,1e-07,8,2.06e-05,4
v,53,2e-07,22,2.14e-05,10
v,54,1e-07,4,2.06e-05,4
v,55,1e-07,22,2.13e-05,10
v,56,1e-07,4,2.05e-05,4
v,57,1e-07,12,2.08e-05,6
v,58,4e-07,48,2.26e-05,14
v,59,1e-07,12,2.09e-05,6
v,60,0,4,2.05e-05,4
v,61,1e-07,10,2.09e-05,6
v,62,1e-07,17,2.1e-05,8
v,63,1e-07,16,2.08e-05,6
v,64,1e-07,16,2.08e-05,6
v,65,3e-07,48,2.23e-05,14
v,66,1e-07,16,2.08e-05,6
v,67,1e-07,12,2.08e-05,6
v,68,0,14,2.14e-05,10
v,69,1e-07,6,2.05e-05,4
v,70,2e-07,19,2.13e-05,10
v,71,0,16,2.08e-05,6
v,72,1e-07,16,2.08e-05,6
v,73,3e-07,48,2.21e-05,14
v,74,2e-07,20,2.15e-05,10
v,75,1e-07,12,2.07e-05,6
v,76,1e-07,10,2.09e-05,6
v,77,2e-07,14,2.1e-05,8
v,78,1e-07,18,2.11e-05,8
v,79,1e-07,22,2.13e-05,10
v,80,1e-07,4,2.06e-05,4
v,81,1e-07,7,2.06e-05,5
v,82,2e-07,28,2.16e-05,12
v,83,1e-07,4,2.06e-05,4
v,84,1e-07,12,2.09e-05,7
v,85,1e-07,12,2.07e-05,6
v,86,1e-07,16,2.26e-05,6
v,87,2e-07,48,2.25e-05,14
v,88,1e-07,16,2.09e-05,6
v,89,1e-07,8,2.06e-05,4
v,90,1e-07,16,2.09e-05,6
v,91,2e-07,8,2.06e-05,4
v,92,2e-07,27,2.16e-05,11
v,93,1e-07,16,2.1e-05,6
v,94,1e-07,16,2.08e-05,6
v,95,1e-07,48,2.21e-05,14
v,96,1e-07,16,2.09e-05,6
v,97,1e-07,16,2.09e-05,6
v,98,1e-07,16,2.08e-05,6
v,99,1e-07,13,2.09e-05,6
v,100,3e-07,52,2.3e-05,18
v,101,1e-07,16,2.09e-05,6
v,102,1e-07,16,2.09e-05,6
v,103,1e-07,48,3.48e-05,14
v,104,1e-07,16,2.08e-05,6
v,105,1e-07,16,2.09e-05,6
v,106,1e-07,16,2.08e-05,6
v,107,1e-07,16,2.09e-05,6
v,108,3e-07,52,2.27e-05,18
v,109,1e-07,16,2.08e-05,6
v,110,1e-07,16,2.07e-05,6
v,111,3e-07,48,3.32e-05,14
v,112,1e-07,16,2.09e-05,6
v,113,0,16,2.08e-05,6
v,114,1e-07,16,2.08e-05,6
v,115,1e-07,13,2.08e-05,6
v,116,1e-07,20,2.12e-05,9
v,117,1e-07,16,2.07e-05,6
v,118,1e-07,16,2.09e-05,6
v,119,0,24,2.13e-05,10
v,120,1e-07,8,2.06e-05,4
v,121,1e-07,8,2.06e-05,4
v,122,1e-07,22,2.13e-05,10
v,123,1e-07,14,2.1e-05,8
v,124,1e-07,18,2.12e-05,8
v,125,2e-07,48,2.21e-05,14
v,126,2e-07,18,2.12e-05,8
v,127,1e-07,7,2.07e-05,5
v,128,1e-07,12,2.11e-05,8
v,129,1e-07,7,2.07e-05,5
v,130,2e-07,31,2.16e-05,12
v,131,1e-07,16,2.07e-05,6
v,132,1e-07,16,2.08e-05,6
v,133,2e-07,48,2.21e-05,14
v,134,1e-07,16,2.09e-05,6
v,135,0,16,2.08e-05,6
v,136,1e-07,16,2.09e-05,6
v,137,0,16,2.08e-05,6
v,138,2e-07,48,2.22e-05,14
v,139,1e-07,16,2.09e-05,6
v,140,0,16,2.09e-05,6
v,141,2e-07,48,2.21e-05,14
v,142,1e-07,16,2.09e-05,6
v,143,1e-07,16,2.08e-05,6
v,144,0,16,2.09e-05,6
v,145,0,16,2.1e-05,6
v,146,2e-07,48,2.24e-05,14
v,147,1e-07,16,2.08e-05,6
v,148,1e-07,16,2.08e-05,6
v,149,2e-07,48,2.21e-05,14
v,150,1e-07,16,2.08e-05,6
v,151,0,16,2.08e-05,6
v,152,0,16,2.09e-05,6
v,153,0,16,2.08e-05,6
v,154,2e-07,48,2.22e-05,14
v,155,1e-07,16,2.08e-05,6
v,156,1e-07,16,2.08e-05,6
v,157,2e-07,48,2.21e-05,14
v,158,1e-07,16,2.08e-05,6
v,159,1e-07,16,2.08e-05,6
v,160,0,16,2.08e-05,6
v,161,1e-07,16,2.08e-05,6
v,162,0,24,2.13e-05,10
v,163,1e-07,16,2.1e-05,6
v,164,0,16,2.08e-05,6
v,165,0,24,2.14e-05,10
v,166,0,8,2.25e-05,4
v,167,1e-07,8,2.08e-05,4
v,168,1e-07,22,2.16e-05,10
v,169,1e-07,8,2.06e-05,4
v,170,0,18,2.1e-05,8
v,171,1e-07,16,2.08e-05,6
v,172,1e-07,18,2.12e-05,8
v,173,2e-07,48,2.21e-05,14
v,174,1e-07,16,2.09e-05,6
v,175,0,7,2.07e-05,5
v,176,1e-07,12,2.11e-05,8
v,177,1e-07,12,2.08e-05,6
v,178,3e-07,56,2.34e-05,22
v,179,1e-07,16,2.08e-05,6
v,180,1e-07,16,2.08e-05,6
v,181,1e-07,48,2.21e-05,14
v,182,1e-07,16,2.08e-05,6
v,183,1e-07,16,2.08e-05,6
v,184,1e-07,16,2.09e-05,6
v,185,1e-07,16,2.08e-05,6
v,186,1e-07,48,2.22e-05,14
v,187,1e-07,16,2.08e-05,6
v,188,1e-07,16,2.07e-05,6
v,189,3e-07,48,2.2e-05,14
v,190,1e-07,16,2.08e-05,6
v,191,1e-07,16,2.08e-05,6
v,192,1e-07,16,2.07e-05,6
v,193,1e-07,16,2.08e-05,6
v,194,2e-07,48,2.22e-05,14
v,195,1e-07,16,2.08e-05,6
v,196,1e-07,16,2.08e-05,6
v,197,2e-07,48,2.22e-05,14
v,198,1e-07,16,2.08e-05,6
v,199,0,16,2.08e-05,6
v,200,0,16,2.08e-05,6
v,201,0,16,2.09e-05,6
v,202,2e-07,48,2.22e-05,14
v,203,1e-07,16,2.08e-05,6
v,204,1e-07,16,2.09e-05,6
v,205,7e-07,48,2.2e-05,14
v,206,1e-07,16,2.08e-05,6
v,207,1e-07,16,2.08e-05,6
v,208,1e-07,16,2.08e-05,6
v,209,1e-07,16,2.08e-05,6
v,210,1e-07,24,2.14e-05,10
v,211,1e-07,16,2.07e-05,6
v,212,1e-07,16,2.09e-05,6
v,213,1e-07,24,2.13e-05,10
v,214,0,8,2.05e-05,4
v,215,1e-07,8,2.06e-05,4
v,216,1e-07,14,2.11e-05,8
v,217,1e-07,28,2.16e-05,12
v,218,2e-07,18,2.12e-05,8
v,219,0,7,2.06e-05,5
v,220,2e-07,31,2.16e-05,12
v,221,1e-07,16,2.08e-05,6
v,222,1e-07,16,2.09e-05,6
v,223,2e-07,48,2.21e-05,14
v,224,0,16,2.08e-05,6
v,225,1e-07,8,2.07e-05,4
v,226,1e-07,16,2.09e-05,6
v,227,0,16,2.08e-05,6
v,228,1e-07,48,2.21e-05,14
v,229,1e-07,16,2.09e-05,6
v,230,4.35e-05,16,0.0001015,6
v,231,2e-06,48,0.0001033,14
v,232,8e-07,16,4.39e-05,6
v,233,2e-07,16,2.43e-05,6
v,234,1e-07,16,2.1e-05,6
v,235,2e-07,16,2.09e-05,6
v,236,6e-07,48,2.25e-05,14
v,237,1e-07,16,2.1e-05,6
v,238,1e-07,16,2.09e-05,6
v,239,2e-07,48,2.23e-05,14
v,240,1e-07,16,2.1e-05,6
v,241,1e-07,16,2.09e-05,6
v,242,1e-07,16,2.09e-05,6
v,243,1e-07,16,2.09e-05,6
v,244,2e-07,48,2.2e-05,14
v,245,1e-07,16,2.09e-05,6
v,246,1e-07,16,2.09e-05,6
v,247,2e-07,48,2.85e-05,14
v,248,2e-07,16,2.09e-05,6
v,249,1e-07,16,2.09e-05,6
v,250,1e-07,16,2.09e-05,6
v,251,1e-07,16,2.09e-05,6
v,252,2e-07,24,2.17e-05,10
v,253,1e-07,16,2.09e-05,6
v,254,1e-07,16,2.08e-05,6
v,255,1e-07,24,2.14e-05,10
v,256,1e-07,8,2.06e-05,4
v,257,2e-07,8,2.07e-05,4
v,258,1e-07,4,2.06e-05,4
v,259,1e-07,12,2.1e-05,7
v,260,1e-07,12,2.09e-05,6
v,261,1e-07,4,2.05e-05,4
v,262,1e-07,22,2.13e-05,10
v,263,1e-07,16,2.09e-05,6
v,264,2e-07,8,2.08e-05,4
v,265,2e-07,27,2.15e-05,11
v,266,1e-07,16,2.08e-05,6
v,267,2e-07,12,2.1e-05,6
v,268,2e-07,48,2.2e-05,14
v,269,1e-07,16,2.09e-05,6
v,270,1e-07,4,2.05e-05,4
v,271,1e-07,10,2.08e-05,6
v,272,1e-07,13,2.09e-05,6
v,273,2e-07,52,2.26e-05,18
v,274,0,16,2.09e-05,6
v,275,0,16,2.08e-05,6
v,276,2e-07,48,2.2e-05,14
v,277,0,16,2.09e-05,6
v,278,2e-07,12,2.08e-05,6
v,279,2e-07,14,2.15e-05,10
v,280,0,16,2.08e-05,6
v,281,2e-07,52,2.27e-05,18
v,282,1e-07,16,2.1e-05,6
v,283,0,16,2.08e-05,6
v,284,1e-07,48,2.2e-05,14
v,285,1e-07,16,2.08e-05,6
v,286,1e-07,12,2.08e-05,6
v,287,1e-07,10,2.08e-05,6
v,288,1e-07,13,2.09e-05,6
v,289,1e-07,20,2.13e-05,9
v,290,1e-07,16,2.1e-05,6
v,291,1e-07,18,2.11e-05,8
v,292,1e-07,22,2.13e-05,10
v,293,2e-07,8,2.06e-05,4
v,294,1e-07,7,2.08e-05,5
v,295,1e-07,4,2.06e-05,4
v,296,1e-07,12,2.1e-05,7
v,297,1e-07,12,2.09e-05,6
v,298,1e-07,17,2.1e-05,8
v,299,1e-07,16,2.09e-05,6
v,300,2e-07,8,2.67e-05,4
v,301,3e-07,24,2.18e-05,10
v,302,1e-07,16,2.1e-05,6
v,303,1e-07,6,2.08e-05,4
v,304,2e-07,19,2.14e-05,10
v,305,2e-07,16,2.1e-05,6
v,306,1e-07,8,2.08e-05,4
v,307,1e-07,22,2.16e-05,10
v,308,1e-07,20,2.15e-05,10
v,309,1e-07,14,2.11e-05,8
v,310,1e-07,4,2.06e-05,4
v,311,1e-07,14,2.11e-05,7
v,312,1e-07,6,2.07e-05,4
v,313,2e-07,31,2.17e-05,12
v,314,1e-07,0,2e-05,0
v,315,1e-07,8,2.08e-05,4
v,316,1e-07,14,2.11e-05,7
v,317,1e-07,6,2.06e-05,4
v,318,1e-07,16,2.09e-05,6
v,319,2e-07,48,2.23e-05,14
v,320,1e-07,8,2.09e-05,5
v,321,1e-07,16,2.1e-05,6
v,322,1e-07,16,2.09e-05,6
v,323,1e-07,6,2.06e-05,4
v,324,1e-07,18,2.12e-05,8
v,325,0,8,2.07e-05,5
v,326,1e-07,16,2.09e-05,6
v,327,2e-07,48,2.22e-05,14
v,328,1e-07,8,2.08e-05,5
v,329,0,16,2.09e-05,6
v,330,1e-07,18,2.12e-05,8
v,331,1e-07,7,2.07e-05,5
v,332,1e-07,7,2.08e-05,5
v,333,1e-07,18,2.12e-05,8
v,334,1e-07,22,2.14e-05,10
v,335,1e-07,14,2.11e-05,8
v,336,1e-07,4,2.06e-05,4
v,337,1e-07,22,2.14e-05,10
v,338,1e-07,4,2.06e-05,4
v,339,1e-07,12,2.1e-05,7
v,340,1e-07,8,2.07e-05,4
v,341,1e-07,16,2.09e-05,6
v,342,1e-07,48,2.22e-05,14
v,343,0,16,2.09e-05,6
v,344,1e-07,12,2.09e-05,6
v,345,0,16,2.09e-05,6
v,346,1e-07,8,2.07e-05,4
v,347,3e-07,30,2.17e-05,12
v,348,0,16,2.09e-05,6
v,349,0,16,2.09e-05,6
v,350,1e-07,48,2.21e-05,14
v,351,1e-07,16,2.08e-05,6
v,352,1e-07,16,2.09e-05,6
v,353,1e-07,16,2.09e-05,6
v,354,1e-07,16,2.09e-05,6
v,355,1e-07,48,2.22e-05,14
v,356,1e-07,16,2.09e-05,6
v,357,0,16,2.09e-05,6
v,358,2e-07,48,2.8e-05,14
v,359,0,16,2.09e-05,6
v,360,1e-07,16,2.08e-05,6
v,361,1e-07,16,2.09e-05,6
v,362,0,16,2.09e-05,6
v,363,2e-07,48,2.21e-05,14
v,364,1e-07,16,2.08e-05,6
v,365,1e-07,16,2.09e-05,6
v,366,2e-07,48,2.21e-05,14
v,367,1e-07,16,2.1e-05,6
v,368,1e-07,16,2.08e-05,6
v,369,1e-07,16,2.08e-05,6
v,370,1e-07,16,2.08e-05,6
v,371,2e-07,48,2.23e-05,14
v,372,1e-07,16,2.08e-05,6
v,373,1e-07,16,2.08e-05,6
v,374,2e-07,48,2.78e-05,14
v,375,1e-07,16,2.08e-05,6
v,376,1e-07,16,2.1e-05,6
v,377,1e-07,16,2.08e-05,6
v,378,1e-07,12,2.08e-05,6
v,379,1e-07,12,2.1e-05,7
v,380,1e-07,8,2.07e-05,4
v,381,0,16,2.09e-05,6
v,382,1e-07,14,2.12e-05,7
v,383,1e-07,8,2.05e-05,4
v,384,1e-07,19,2.12e-05,9
v,385,1e-07,12,2.11e-05,7
v,386,1e-07,8,2.06e-05,4
v,387,1e-07,16,2.38e-05,6
v,388,2e-07,48,3.75e-05,14
v,389,1e-07,16,3.67e-05,6
v,390,1e-07,12,3.68e-05,6
v,391,2e-07,16,3.91e-05,6
v,392,2e-07,12,3.4e-05,6
v,393,3e-07,48,4.05e-05,14
v,394,1e-07,16,3.75e-05,6
v,395,2e-07,16,3.69e-05,6
v,396,4e-07,48,3.92e-05,14
v,397,1e-07,16,3.5e-05,6
v,398,1e-07,16,3.52e-05,6
v,399,2e-07,16,3.61e-05,6
v,400,1e-07,16,3.61e-05,6
v,401,4e-07,48,3.88e-05,14
v,402,2e-07,16,3.59e-05,6
v,403,1e-07,16,3.6e-05,6
v,404,2e-07,48,3.85e-05,14
v,405,1e-07,16,3.63e-05,6
v,406,1e-07,16,3.57e-05,6
v,407,2e-07,16,3.6e-05,6
v,408,2e-07,16,3.61e-05,6
v,409,3e-07,48,3.89e-05,14
v,410,2e-07,16,3.63e-05,6
v,411,1e-07,16,3.58e-05,6
v,412,3e-07,48,3.72e-05,14
v,413,1e-07,16,3.44e-05,6
v,414,2e-07,16,6.03e-05,6
v,415,2e-07,16,2.12e-05,6
v,416,1e-07,16,2.09e-05,6
v,417,4e-07,48,2.25e-05,14
v,418,1e-07,16,2.1e-05,6
v,419,1e-07,16,2.08e-05,6
v,420,2e-07,48,2.5e-05,14
v,421,1e-07,16,2.08e-05,6
v,422,1e-07,16,2.08e-05,6
v,423,2e-07,16,2.08e-05,6
v,424,1e-07,16,2.08e-05,6
v,425,3e-07,48,2.23e-05,14
v,426,1e-07,16,2.09e-05,6
v,427,1e-07,16,2.08e-05,6
v,428,2e-07,48,2.75e-05,14
v,429,1e-07,16,2.09e-05,6
v,430,2e-07,16,2.1e-05,6
v,431,1e-07,16,2.07e-05,6
v,432,1e-07,16,2.08e-05,6
v,433,1e-07,24,2.15e-05,10
v,434,1e-07,16,2.08e-05,6
v,435,1e-07,16,2.07e-05,6
v,436,2e-07,19,2.12e-05,9
v,437,1e-07,6,2.06e-05,4
v,438,1e-07,8,2.06e-05,4
v,439,2e-07,12,2.1e-05,8
v,440,2e-07,48,2.22e-05,14
v,441,1e-07,13,2.09e-05,6
v,442,1e-07,7,2.06e-05,5
v,443,1e-07,18,2.11e-05,8
v,444,1e-07,12,2.1e-05,7
v,445,3e-07,48,2.22e-05,14
v,446,1e-07,16,2.08e-05,6
v,447,0,16,2.07e-05,6
