Tipo,Index,TempoFaces,NumFaces,TempoAdjacentes,NumAdjacentes
v,0,7e-07,3,0.0001545,3
v,1,2e-07,4,0.000144,4
v,2,2e-07,4,0.0001432,4
v,3,1e-07,4,0.000143,4
v,4,2e-07,4,0.0001429,4
v,5,1e-07,4,0.0001429,4
v,6,1e-07,4,0.0001477,4
v,7,2e-07,4,0.000143,4
v,8,1e-07,4,0.000143,4
v,9,1e-07,4,0.0001429,4
v,10,1e-07,4,0.000143,4
v,11,1e-07,4,0.0001429,4
v,12,1e-07,4,0.0001428,4
v,13,1e-07,4,0.0001431,4
v,14,1e-07,4,0.0001429,4
v,15,1e-07,4,0.0001428,4
v,16,1e-07,4,0.0001428,4
v,17,1e-07,4,0.0001428,4
v,18,0,4,0.0001429,4
v,19,0,4,0.0001448,4
v,20,1e-07,4,0.000143,4
v,21,1e-07,4,0.0001429,4
v,22,1e-07,4,0.0001429,4
v,23,1e-07,4,0.0001429,4
v,24,0,4,0.000143,4
v,25,1e-07,4,0.000143,4
v,26,1e-07,4,0.0001429,4
v,27,1e-07,4,0.000143,4
v,28,1e-07,4,0.0001428,4
v,29,1e-07,4,0.0001428,4
v,30,0,4,0.0001429,4
v,31,1e-07,4,0.0001459,4
v,32,1e-07,4,0.000143,4
v,33,1e-07,4,0.000143,4
v,34,1e-07,3,0.0001428,3
v,35,1e-07,4,0.0001428,4
v,36,1e-07,4,0.0001429,4
v,37,2e-07,4,0.0001429,4
v,38,1e-07,4,0.0001429,4
v,39,1e-07,4,0.0001428,4
v,40,1e-07,4,0.0001429,4
v,41,1e-07,4,0.0001428,4
v,42,1e-07,4,0.000143,4
v,43,1e-07,4,0.0001431,4
v,44,1e-07,4,0.0001428,4
v,45,0,4,0.0001461,4
v,46,2e-07,4,0.000143,4
v,47,1e-07,4,0.0001429,4
v,48,1e-07,4,0.0001429,4
v,49,1e-07,4,0.000143,4
v,50,1e-07,4,0.0001428,4
v,51,2e-07,4,0.0001428,4
v,52,1e-07,4,0.000143,4
v,53,1e-07,4,0.0001427,4
v,54,1e-07,4,0.000143,4
v,55,1e-07,4,0.0001428,4
v,56,1e-07,4,0.0001429,4
v,57,1e-07,4,0.0001458,4
v,58,0,4,0.000143,4
v,59,2e-07,4,0.0001429,4
v,60,1e-07,4,0.0001429,4
v,61,1e-07,4,0.0001428,4
v,62,1e-07,4,0.000143,4
v,63,1e-07,4,0.0001429,4
v,64,1e-07,4,0.0001428,4
v,65,0,4,0.0001429,4
v,66,1e-07,4,0.0001429,4
v,67,1e-07,4,0.0001428,4
v,68,1e-07,3,0.0001427,3
v,69,1e-07,4,0.0001429,4
v,70,0,4,0.0001428,4
v,71,1e-07,4,0.0001456,4
v,72,1e-07,4,0.0001429,4
v,73,1e-07,4,0.000143,4
v,74,2e-07,4,0.0001429,4
v,75,2e-07,4,0.0001428,4
v,76,1e-07,4,0.0001429,4
v,77,0,4,0.0002417,4
v,78,8e-07,4,0.0001574,4
v,79,1e-07,4,0.0001431,4
v,80,1e-07,4,0.0001435,4
v,81,1e-07,4,0.0001432,4
v,82,1e-07,4,0.0001431,4
v,83,2e-07,4,0.0001431,4
v,84,1e-07,4,0.000143,4
v,85,1e-07,4,0.0001431,4
v,86,1e-07,4,0.000143,4
v,87,1e-07,4,0.0001429,4
v,88,2e-07,4,0.0001431,4
v,89,1e-07,4,0.0001511,4
v,90,2e-07,4,0.0001459,4
v,91,2e-07,4,0.0001445,4
v,92,1e-07,4,0.000146,4
v,93,2e-07,4,0.0001457,4
v,94,1e-07,4,0.0001457,4
v,95,0,4,0.0001455,4
v,96,1e-07,4,0.0001451,4
v,97,2e-07,4,0.0001453,4
v,98,1e-07,4,0.0001455,4
v,99,7e-07,4,0.0001456,4
v,100,1e-07,4,0.0001452,4
v,101,1e-07,4,0.0001454,4
v,102,0,3,0.0001453,3
v,103,2e-07,4,0.000147,4
v,104,1e-07,4,0.000143,4
v,105,1e-07,4,0.0001432,4
v,106,2e-07,4,0.0001429,4
v,107,1e-07,4,0.0001429,4
